  # q-path    omega_q   gamma(q)(meV)     g(q)^2 (meV*ryd)          lambda
    0.0000     0.0000      0.0000e+00           0.0000e+00      0.0000e+00
    0.0250     0.4549      0.0000e+00           0.0000e+00      0.0000e+00
    0.0499     0.9234      9.2000e-05           7.9224e+03      5.4694e-01
    0.0749     1.3862      1.0000e-04           5.4653e+03      2.6380e-01
    0.0998     1.8448      1.2400e-04           4.3331e+03      1.8469e-01
    0.1248     2.2983      1.0700e-04           3.7259e+03      1.0268e-01
    0.1498     2.7460      9.3000e-05           3.3793e+03      6.2519e-02
    0.1747     3.1869      8.9000e-05           3.1819e+03      4.4420e-02
    0.1997     3.6202      1.1800e-04           3.0746e+03      4.5640e-02
    0.2246     4.0452      1.0200e-04           3.0294e+03      3.1597e-02
    0.2496     4.4613      1.1600e-04           3.0240e+03      2.9544e-02
    0.2746     4.8678      1.0100e-04           3.0521e+03      2.1607e-02
    0.2995     5.2645      1.0600e-04           3.1015e+03      1.9387e-02
    0.3245     5.6511      1.1300e-04           3.1679e+03      1.7937e-02
    0.3494     6.0275      1.1600e-04           3.2468e+03      1.6185e-02
    0.3744     6.3936      1.2700e-04           3.3367e+03      1.5749e-02
    0.3993     6.7495      1.6200e-04           3.4338e+03      1.8026e-02
    0.4243     7.0953      1.9400e-04           3.5367e+03      1.9534e-02
    0.4493     7.4313      2.3000e-04           3.6414e+03      2.1112e-02
    0.4742     7.7577      2.1700e-04           3.7471e+03      1.8278e-02
    0.4992     8.0747      3.0600e-04           3.8557e+03      2.3790e-02
    0.5241     8.3824      2.9500e-04           3.9626e+03      2.1282e-02
    0.5491     8.6810      3.5300e-04           4.0664e+03      2.3745e-02
    0.5741     8.9706      2.4700e-04           4.1628e+03      1.5559e-02
    0.5990     9.2510      1.7900e-04           4.2519e+03      1.0602e-02
    0.6240     9.5222      1.0200e-04           4.3303e+03      5.7024e-03
    0.6489     9.7836      9.1000e-05           4.3982e+03      4.8192e-03
    0.6739    10.0347      7.4000e-05           4.4562e+03      3.7252e-03
    0.6989    10.2744      4.1000e-05           4.5080e+03      1.9688e-03
    0.7238    10.5011      4.5000e-05           4.5592e+03      2.0686e-03
    0.7488    10.7123      4.8000e-05           4.6189e+03      2.1203e-03
    0.7737    10.9044      6.4000e-05           4.7078e+03      2.7284e-03
    0.7987    11.0735      1.0100e-04           4.8450e+03      4.1752e-03
    0.8237    11.2172      1.6800e-04           5.0417e+03      6.7682e-03
    0.8486    11.3379      2.1500e-04           5.2716e+03      8.4782e-03
    0.8736    11.4432      2.2900e-04           5.4961e+03      8.8648e-03
    0.8985    11.5419      3.1900e-04           5.6807e+03      1.2139e-02
    0.9235    11.6399      4.3400e-04           5.8225e+03      1.6238e-02
    0.9484    11.7401      7.4700e-04           5.9211e+03      2.7473e-02
    0.9734    11.8423      1.0440e-03           5.9848e+03      3.7736e-02
    0.9984    11.9454      7.6500e-04           6.0111e+03      2.7176e-02
    1.0078    11.9580      1.1020e-03           6.0153e+03      3.9066e-02
    1.0172    11.9706      1.2500e-03           6.0180e+03      4.4219e-02
    1.0266    11.9831      1.1670e-03           6.0211e+03      4.1197e-02
    1.0360    11.9955      1.0440e-03           6.0233e+03      3.6778e-02
    1.0454    12.0076      6.8700e-04           6.0217e+03      2.4153e-02
    1.0548    12.0194      6.9800e-04           6.0163e+03      2.4492e-02
    1.0643    12.0307      6.7700e-04           6.0137e+03      2.3710e-02
    1.0737    12.0416      4.8300e-04           6.0094e+03      1.6885e-02
    1.0831    12.0520      4.4700e-04           6.0037e+03      1.5600e-02
    1.0925    12.0617      3.8600e-04           5.9972e+03      1.3449e-02
    1.1019    12.0709      4.5400e-04           5.9928e+03      1.5795e-02
    1.1113    12.0795      3.1600e-04           5.9878e+03      1.0978e-02
    1.1207    12.0875      2.7800e-04           5.9795e+03      9.6450e-03
    1.1302    12.0948      2.2700e-04           5.9714e+03      7.8661e-03
    1.1396    12.1015      2.3400e-04           5.9634e+03      8.0997e-03
    1.1490    12.1077      2.1500e-04           5.9545e+03      7.4344e-03
    1.1584    12.1132      2.2900e-04           5.9483e+03      7.9113e-03
    1.1678    12.1183      2.4000e-04           5.9407e+03      8.2843e-03
    1.1772    12.1227      2.3700e-04           5.9347e+03      8.1748e-03
    1.1866    12.1267      2.2000e-04           5.9310e+03      7.5835e-03
    1.1960    12.1302      2.5500e-04           5.9263e+03      8.7849e-03
    1.2055    12.1333      2.4000e-04           5.9227e+03      8.2639e-03
    1.2149    12.1359      3.0500e-04           5.9185e+03      1.0498e-02
    1.2243    12.1381      3.4400e-04           5.9131e+03      1.1836e-02
    1.2337    12.1399      2.7900e-04           5.9129e+03      9.5963e-03
    1.2431    12.1414      2.0200e-04           5.9106e+03      6.9461e-03
    1.2525    12.1425      2.4800e-04           5.9094e+03      8.5264e-03
    1.2619    12.1433      1.4000e-04           5.9084e+03      4.8127e-03
    1.2714    12.1438      2.0100e-04           5.9101e+03      6.9090e-03
    1.2808    12.1439      2.5300e-04           5.9116e+03      8.6963e-03
    1.2878    12.1438      2.3500e-04           5.9090e+03      8.0777e-03
    1.2949    12.1436      1.8900e-04           5.9103e+03      6.4968e-03
    1.3020    12.1431      1.5900e-04           5.9082e+03      5.4660e-03
    1.3090    12.1425      2.4800e-04           5.9094e+03      8.5264e-03
    1.3161    12.1417      2.0000e-04           5.9109e+03      6.8770e-03
    1.3231    12.1407      3.0000e-04           5.9113e+03      1.0317e-02
    1.3302    12.1395      2.9100e-04           5.9131e+03      1.0010e-02
    1.3373    12.1381      3.4400e-04           5.9131e+03      1.1836e-02
    1.3443    12.1365      3.3400e-04           5.9176e+03      1.1494e-02
    1.3514    12.1346      2.7200e-04           5.9195e+03      9.3637e-03
    1.3584    12.1325      2.6000e-04           5.9245e+03      8.9537e-03
    1.3655    12.1302      2.5500e-04           5.9263e+03      8.7849e-03
    1.3726    12.1276      2.1100e-04           5.9311e+03      7.2722e-03
    1.3796    12.1248      2.9400e-04           5.9323e+03      1.0137e-02
    1.3867    12.1217      2.7900e-04           5.9364e+03      9.6251e-03
    1.3937    12.1183      2.4000e-04           5.9407e+03      8.2843e-03
    1.4008    12.1146      2.2200e-04           5.9476e+03      7.6677e-03
    1.4079    12.1105      2.0300e-04           5.9529e+03      7.0162e-03
    1.4149    12.1062      2.5300e-04           5.9556e+03      8.7505e-03
    1.4220    12.1015      2.3400e-04           5.9634e+03      8.0997e-03
    1.4290    12.0965      4.1200e-04           5.9692e+03      1.4273e-02
    1.4361    12.0912      2.4600e-04           5.9770e+03      8.5296e-03
    1.4432    12.0855      3.5600e-04           5.9803e+03      1.2355e-02
    1.4502    12.0795      3.1600e-04           5.9878e+03      1.0978e-02
    1.4573    12.0731      4.4000e-04           5.9908e+03      1.5302e-02
    1.4643    12.0664      3.8900e-04           5.9950e+03      1.3543e-02
    1.4714    12.0593      3.6800e-04           5.9981e+03      1.2827e-02
    1.4785    12.0520      4.4700e-04           6.0037e+03      1.5600e-02
    1.4855    12.0442      4.2400e-04           6.0082e+03      1.4816e-02
    1.4926    12.0362      5.4200e-04           6.0102e+03      1.8965e-02
    1.4996    12.0279      6.8800e-04           6.0141e+03      2.4107e-02
    1.5067    12.0194      6.9800e-04           6.0163e+03      2.4492e-02
    1.5138    12.0106      7.1200e-04           6.0209e+03      2.5020e-02
    1.5208    12.0016      8.2300e-04           6.0211e+03      2.8964e-02
    1.5279    11.9924      1.0400e-03           6.0235e+03      3.6657e-02
    1.5349    11.9831      1.1670e-03           6.0211e+03      4.1197e-02
    1.5420    11.9737      1.4560e-03           6.0202e+03      5.1480e-02
    1.5491    11.9643      1.3450e-03           6.0159e+03      4.7630e-02
    1.5561    11.9548      9.0500e-04           6.0143e+03      3.2099e-02
    1.5632    11.9454      7.6500e-04           6.0111e+03      2.7176e-02
    1.5841    11.8422      1.0200e-03           5.9796e+03      3.6869e-02
    1.6051    11.7363      8.4900e-04           5.9090e+03      3.1245e-02
    1.6261    11.6270      4.1900e-04           5.8036e+03      1.5711e-02
    1.6470    11.5137      7.7200e-04           5.6588e+03      2.9520e-02
    1.6680    11.3963      3.8100e-04           5.4847e+03      1.4871e-02
    1.6890    11.2750      3.4500e-04           5.2852e+03      1.3757e-02
    1.7099    11.1509      3.0500e-04           5.0856e+03      1.2434e-02
    1.7309    11.0258      6.3100e-04           4.8944e+03      2.6311e-02
    1.7519    10.9018      4.5100e-04           4.7305e+03      1.9236e-02
    1.7728    10.7815      5.4900e-04           4.5979e+03      2.3941e-02
    1.7938    10.6670      4.2600e-04           4.5008e+03      1.8978e-02
    1.8148    10.5603      6.1600e-04           4.4365e+03      2.8000e-02
    1.8357    10.4628      5.8600e-04           4.4002e+03      2.7135e-02
    1.8567    10.3754      5.9300e-04           4.3921e+03      2.7924e-02
    1.8777    10.2981      7.5000e-04           4.4082e+03      3.5849e-02
    1.8986    10.2303      8.0400e-04           4.4521e+03      3.8941e-02
    1.9196    10.1703      1.0420e-03           4.5206e+03      5.1066e-02
    1.9405    10.1155      8.4300e-04           4.6172e+03      4.1762e-02
    1.9615    10.0618      9.3700e-04           4.7275e+03      4.6916e-02
    1.9825    10.0048      8.3700e-04           4.8342e+03      4.2388e-02
    2.0034     9.9401      9.1600e-04           4.9088e+03      4.6994e-02
    2.0244     9.8649      6.4900e-04           4.9327e+03      3.3806e-02
    2.0454     9.7783      7.7200e-04           4.8979e+03      4.0928e-02
    2.0663     9.6804      7.0200e-04           4.8120e+03      3.7973e-02
    2.0873     9.5723      5.1000e-04           4.6935e+03      2.8214e-02
    2.1083     9.4552      1.1080e-03           4.5531e+03      6.2824e-02
    2.1292     9.3304      8.6900e-04           4.4067e+03      5.0600e-02
    2.1502     9.1994      1.0270e-03           4.2586e+03      6.1515e-02
    2.1712     9.0640      7.3000e-04           4.1185e+03      4.5042e-02
    2.1921     8.9263      1.2550e-03           3.9863e+03      7.9842e-02
    2.2131     8.7885      1.0950e-03           3.8685e+03      7.1865e-02
    2.2341     8.6534      1.5620e-03           3.7606e+03      1.0574e-01
    2.2550     8.5240      1.3540e-03           3.6661e+03      9.4463e-02
    2.2760     8.4033      8.5500e-04           3.5827e+03      6.1376e-02
    2.2970     8.2945      8.8200e-04           3.5130e+03      6.4986e-02
    2.3179     8.2006      4.4800e-04           3.4594e+03      3.3769e-02
    2.3389     8.1244      7.6600e-04           3.4216e+03      5.8827e-02
    2.3598     8.0682      7.6300e-04           3.3795e+03      5.9416e-02
    2.3808     8.0337      9.1400e-04           3.3807e+03      7.1787e-02
    2.4018     8.0221      5.4800e-04           3.3868e+03      4.3165e-02
    2.4153     8.0142      1.2780e-03           3.3813e+03      1.0087e-01
    2.4289     7.9910      9.8500e-04           3.3678e+03      7.8192e-02
    2.4424     7.9527      1.0010e-03           3.3440e+03      8.0230e-02
    2.4560     7.9002      9.7200e-04           3.3127e+03      7.8944e-02
    2.4695     7.8343      1.0100e-03           3.2750e+03      8.3416e-02
    2.4830     7.7560      1.1120e-03           3.2319e+03      9.3704e-02
    2.4966     7.6664      1.0800e-03           3.1845e+03      9.3147e-02
    2.5101     7.5664      1.0830e-03           3.1340e+03      9.5891e-02
    2.5237     7.4571      1.0030e-03           3.0809e+03      9.1431e-02
    2.5372     7.3393      1.0560e-03           3.0258e+03      9.9377e-02
    2.5508     7.2135      8.1700e-04           2.9694e+03      7.9590e-02
    2.5643     7.0804      7.8800e-04           2.9121e+03      7.9678e-02
    2.5778     6.9403      6.7500e-04           2.8548e+03      7.1036e-02
    2.5914     6.7933      7.8200e-04           2.7987e+03      8.5896e-02
    2.6049     6.6395      5.7300e-04           2.7442e+03      6.5889e-02
    2.6185     6.4787      6.9800e-04           2.6914e+03      8.4297e-02
    2.6320     6.3107      6.2900e-04           2.6409e+03      8.0062e-02
    2.6456     6.1353      4.1900e-04           2.5931e+03      5.6425e-02
    2.6591     5.9520      3.8200e-04           2.5486e+03      5.4660e-02
    2.6726     5.7605      3.4700e-04           2.5076e+03      5.3008e-02
    2.6862     5.5071      3.8300e-04           2.5004e+03      6.4015e-02
    2.6997     5.2429      4.5100e-04           2.5042e+03      8.3169e-02
    2.7133     4.9693      2.5200e-04           2.5189e+03      5.1730e-02
    2.7268     4.6874      1.9600e-04           2.5453e+03      4.5219e-02
    2.7404     4.3987      1.8300e-04           2.5849e+03      4.7944e-02
    2.7539     4.1046      2.9200e-04           2.6393e+03      8.7856e-02
    2.7675     3.8066      2.2400e-04           2.7111e+03      7.8362e-02
    2.7810     3.5060      3.3900e-04           2.8043e+03      1.3980e-01
    2.7945     3.2041      3.7700e-04           2.9241e+03      1.8615e-01
    2.8081     2.9021      2.7800e-04           3.0785e+03      1.6732e-01
    2.8216     2.6009      2.6500e-04           3.2786e+03      1.9858e-01
    2.8352     2.3014      1.5400e-04           3.5434e+03      1.4739e-01
    2.8487     2.0042      1.5600e-04           3.9010e+03      1.9687e-01
    2.8623     1.7097      1.5100e-04           4.3996e+03      2.6186e-01
    2.8758     1.4179      1.3600e-04           5.1270e+03      3.4291e-01
    2.8893     1.1287      8.5000e-05           6.2618e+03      3.3821e-01
    2.9029     0.8414      7.1000e-05           8.2243e+03      5.0837e-01
    2.9164     0.5546      0.0000e+00           0.0000e+00      0.0000e+00
    2.9300     0.2625      0.0000e+00           0.0000e+00      0.0000e+00
    2.9435     0.0000      0.0000e+00           0.0000e+00      0.0000e+00
    2.9760     0.5672      0.0000e+00           0.0000e+00      0.0000e+00
    3.0085     1.1388      7.3000e-05           6.2584e+03      2.8534e-01
    3.0409     1.7045      7.6000e-05           4.5558e+03      1.3260e-01
    3.0734     2.2633      6.9000e-05           3.8539e+03      6.8280e-02
    3.1059     2.8134      5.2000e-05           3.5442e+03      3.3302e-02
    3.1384     3.3527      4.3000e-05           3.4258e+03      1.9391e-02
    3.1708     3.8795      3.7000e-05           3.4105e+03      1.2462e-02
    3.2033     4.3921      3.1000e-05           3.4539e+03      8.1461e-03
    3.2358     4.8891      2.0000e-05           3.5339e+03      4.2413e-03
    3.2683     5.3693      1.2000e-05           3.6378e+03      2.1100e-03
    3.3007     5.8318      7.0000e-06           3.7583e+03      1.0433e-03
    3.3332     6.2761      9.0000e-06           3.8895e+03      1.1582e-03
    3.3657     6.7017      1.0000e-05           4.0281e+03      1.1287e-03
    3.3981     7.1088      2.3000e-05           4.1748e+03      2.3071e-03
    3.4306     7.4978      4.0000e-05           4.3290e+03      3.6068e-03
    3.4631     7.8693      6.1000e-05           4.4889e+03      4.9933e-03
    3.4956     8.2240      1.7200e-04           4.6567e+03      1.2891e-02
    3.5280     8.5632      2.8000e-04           4.8277e+03      1.9356e-02
    3.5605     8.8881      2.1700e-04           4.9977e+03      1.3924e-02
    3.5930     9.1999      2.5600e-04           5.1633e+03      1.5332e-02
    3.6255     9.5000      2.9500e-04           5.3211e+03      1.6569e-02
    3.6579     9.7897      3.5100e-04           5.4693e+03      1.8565e-02
    3.6904    10.0702      3.1200e-04           5.6082e+03      1.5596e-02
    3.7229    10.3423      3.7700e-04           5.7407e+03      1.7866e-02
    3.7554    10.6068      2.4500e-04           5.8652e+03      1.1039e-02
    3.7878    10.8640      1.8500e-04           5.9808e+03      7.9455e-03
    3.8203    11.1136      1.3200e-04           6.0835e+03      5.4174e-03
    3.8528    11.3548      1.2500e-04           6.1679e+03      4.9145e-03
    3.8852    11.5858      1.0600e-04           6.2301e+03      4.0030e-03
    3.9177    11.8035      2.9100e-04           6.2517e+03      1.0588e-02
    3.9502    12.0014      1.7400e-04           6.1973e+03      6.1237e-03
    3.9827    12.1666      1.7800e-04           6.0257e+03      6.0955e-03
    4.0151    12.2760      2.5800e-04           5.7619e+03      8.6783e-03
    4.0476    12.3121      2.6900e-04           5.6086e+03      8.9954e-03
    4.0801    12.2996      2.4800e-04           5.6606e+03      8.3100e-03
