  # q-path    omega_q   gamma(q)(meV)     g(q)^2 (meV*ryd)          lambda
    4.1126    12.2835      1.8800e-04           5.7892e+03      6.3160e-03
    4.1450    12.2902      1.7700e-04           5.9104e+03      5.9400e-03
    4.1775    12.3278      2.0400e-04           6.0036e+03      6.8044e-03
    4.2100    12.3949      8.6000e-05           6.0691e+03      2.8375e-03
    4.2424    12.4851      1.5300e-04           6.1141e+03      4.9755e-03

    0.0000     0.0000      0.0000e+00           0.0000e+00      0.0000e+00
    0.0250     0.5919      0.0000e+00           0.0000e+00      0.0000e+00
    0.0499     1.1804      3.3000e-05           5.6905e+03      1.2006e-01
    0.0749     1.7709      4.6000e-05           3.8485e+03      7.4353e-02
    0.0998     2.3632      6.3000e-05           2.9648e+03      5.7183e-02
    0.1248     2.9573      6.2000e-05           2.4649e+03      3.5936e-02
    0.1498     3.5525      8.5000e-05           2.1551e+03      3.4141e-02
    0.1747     4.1483      9.1000e-05           1.9545e+03      2.6806e-02
    0.1997     4.7435      8.2000e-05           1.8199e+03      1.8473e-02
    0.2246     5.3367      7.2000e-05           1.7309e+03      1.2815e-02
    0.2496     5.9264      7.1000e-05           1.6720e+03      1.0247e-02
    0.2746     6.5108      8.8000e-05           1.6371e+03      1.0523e-02
    0.2995     7.0882      1.2800e-04           1.6192e+03      1.2914e-02
    0.3245     7.6571      1.4900e-04           1.6156e+03      1.2882e-02
    0.3494     8.2160      1.5900e-04           1.6244e+03      1.1940e-02
    0.3744     8.7638      1.3700e-04           1.6440e+03      9.0420e-03
    0.3993     9.2996      1.6400e-04           1.6735e+03      9.6127e-03
    0.4243     9.8230      2.4700e-04           1.7118e+03      1.2976e-02
    0.4493    10.3337      2.0900e-04           1.7578e+03      9.9212e-03
    0.4742    10.8321      1.9200e-04           1.8108e+03      8.2948e-03
    0.4992    11.3185      2.9800e-04           1.8716e+03      1.1791e-02
    0.5241    11.7937      2.1700e-04           1.9389e+03      7.9084e-03
    0.5491    12.2583      1.8300e-04           2.0131e+03      6.1733e-03
    0.5741    12.7132      1.3600e-04           2.0974e+03      4.2654e-03
    0.5990    12.6618      5.3300e-04           5.2411e+03      1.6853e-02
    0.6240    12.5120      3.2100e-04           5.3073e+03      1.0394e-02
    0.6489    12.3699      1.5900e-04           5.3777e+03      5.2674e-03
    0.6739    12.2417      1.6500e-04           5.4498e+03      5.5812e-03
    0.6989    12.1330      8.2000e-05           5.5224e+03      2.8236e-03
    0.7238    12.0485      7.2000e-05           5.5873e+03      2.5142e-03
    0.7488    11.9934      4.7000e-05           5.6313e+03      1.6563e-03
    0.7737    11.9732      4.3000e-05           5.6396e+03      1.5205e-03
    0.7987    11.9934      3.4000e-05           5.5848e+03      1.1982e-03
    0.8237    12.0571      2.3000e-05           5.4552e+03      8.0200e-04
    0.8486    12.1625      1.6000e-05           5.2700e+03      5.4828e-04
    0.8736    12.3019      2.5000e-05           5.0734e+03      8.3739e-04
    0.8985    12.4661      4.6000e-05           4.8885e+03      1.5005e-03
    0.9235    12.6484      7.8000e-05           4.7267e+03      2.4715e-03
    0.9484    12.8451      1.8400e-04           4.5859e+03      5.6529e-03
    0.9734    13.0546      2.7100e-04           4.4644e+03      8.0607e-03
    0.9984    13.2768      4.3500e-04           4.3571e+03      1.2509e-02
    1.0078    13.3079      3.9700e-04           4.3390e+03      1.1363e-02
    1.0172    13.3417      5.6500e-04           4.3212e+03      1.6090e-02
    1.0266    13.3782      5.6900e-04           4.3048e+03      1.6116e-02
    1.0360    13.4176      6.8000e-04           4.2884e+03      1.9146e-02
    1.0454    13.4597      3.9500e-04           4.2705e+03      1.1052e-02
    1.0548    13.5047      4.4700e-04           4.2507e+03      1.2424e-02
    1.0643    13.5524      4.7900e-04           4.2343e+03      1.3220e-02
    1.0737    13.6029      3.1600e-04           4.2179e+03      8.6567e-03
    1.0831    13.6562      3.2500e-04           4.2014e+03      8.8339e-03
    1.0925    13.7122      2.2900e-04           4.1857e+03      6.1738e-03
    1.1019    13.7708      2.1500e-04           4.1728e+03      5.7471e-03
    1.1113    13.8319      1.9400e-04           4.1602e+03      5.1401e-03
    1.1207    13.8955      1.9300e-04           4.1463e+03      5.0669e-03
    1.1302    13.9615      9.4000e-05           4.1331e+03      2.4445e-03
    1.1396    14.0296      1.2500e-04           4.1211e+03      3.2192e-03
    1.1490    14.0998      1.0400e-04           4.1094e+03      2.6518e-03
    1.1584    14.1719      7.7000e-05           4.1007e+03      1.9434e-03
    1.1678    14.2457      8.4000e-05           4.0916e+03      2.0982e-03
    1.1772    14.3211      6.0000e-05           4.0848e+03      1.4830e-03
    1.1866    14.3977      6.3000e-05           4.0809e+03      1.5406e-03
    1.1960    14.4754      5.5000e-05           4.0773e+03      1.3306e-03
    1.2055    14.5538      5.9000e-05           4.0757e+03      1.4120e-03
    1.2149    14.6325      8.1000e-05           4.0754e+03      1.9177e-03
    1.2243    14.7109      8.7000e-05           4.0757e+03      2.0378e-03
    1.2337    14.7885      6.1000e-05           4.0815e+03      1.4139e-03
    1.2431    14.8638      4.2000e-05           4.0883e+03      9.6365e-04
    1.2525    14.9347      9.7000e-05           4.0978e+03      2.2045e-03
    1.2619    14.9973      6.8000e-05           4.1102e+03      1.5325e-03
    1.2714    15.0434      5.4000e-05           4.1237e+03      1.2096e-03
    1.2808    15.0612      7.6000e-05           4.1313e+03      1.6983e-03
    1.2878    15.0510      5.6000e-05           4.1256e+03      1.2531e-03
    1.2949    15.0231      6.4000e-05           4.1179e+03      1.4374e-03
    1.3020    14.9828      5.4000e-05           4.1066e+03      1.2194e-03
    1.3090    14.9347      9.7000e-05           4.0978e+03      2.2045e-03
    1.3161    14.8820      3.9000e-05           4.0908e+03      8.9263e-04
    1.3231    14.8265      4.1000e-05           4.0844e+03      9.4545e-04
    1.3302    14.7692      8.5000e-05           4.0801e+03      1.9753e-03
    1.3373    14.7109      8.7000e-05           4.0757e+03      2.0378e-03
    1.3443    14.6521      7.2000e-05           4.0756e+03      1.7001e-03
    1.3514    14.5931      7.6000e-05           4.0745e+03      1.8090e-03
    1.3584    14.5341      5.3000e-05           4.0768e+03      1.2718e-03
    1.3655    14.4754      5.5000e-05           4.0773e+03      1.3306e-03
    1.3726    14.4170      5.9000e-05           4.0807e+03      1.4389e-03
    1.3796    14.3592      6.7000e-05           4.0825e+03      1.6472e-03
    1.3867    14.3021      6.1000e-05           4.0865e+03      1.5117e-03
    1.3937    14.2457      8.4000e-05           4.0916e+03      2.0982e-03
    1.4008    14.1902      9.3000e-05           4.0993e+03      2.3412e-03
    1.4079    14.1356      6.2000e-05           4.1060e+03      1.5729e-03
    1.4149    14.0821      8.5000e-05           4.1113e+03      2.1728e-03
    1.4220    14.0296      1.2500e-04           4.1211e+03      3.2192e-03
    1.4290    13.9783      1.3300e-04           4.1300e+03      3.4504e-03
    1.4361    13.9282      9.1000e-05           4.1407e+03      2.3778e-03
    1.4432    13.8794      1.4700e-04           4.1486e+03      3.8682e-03
    1.4502    13.8319      1.9400e-04           4.1602e+03      5.1401e-03
    1.4573    13.7858      2.7600e-04           4.1691e+03      7.3617e-03
    1.4643    13.7412      2.8900e-04           4.1793e+03      7.7585e-03
    1.4714    13.6979      2.1300e-04           4.1891e+03      5.7544e-03
    1.4785    13.6562      3.2500e-04           4.2014e+03      8.8339e-03
    1.4855    13.6160      3.0300e-04           4.2139e+03      8.2846e-03
    1.4926    13.5773      3.5300e-04           4.2248e+03      9.7068e-03
    1.4996    13.5402      3.6400e-04           4.2381e+03      1.0064e-02
    1.5067    13.5047      4.4700e-04           4.2507e+03      1.2424e-02
    1.5138    13.4707      4.2800e-04           4.2658e+03      1.1956e-02
    1.5208    13.4383      5.5500e-04           4.2784e+03      1.5579e-02
    1.5279    13.4075      5.1100e-04           4.2930e+03      1.4410e-02
    1.5349    13.3782      5.6900e-04           4.3048e+03      1.6116e-02
    1.5420    13.3506      6.8600e-04           4.3181e+03      1.9510e-02
    1.5491    13.3244      6.7100e-04           4.3298e+03      1.9158e-02
    1.5561    13.2999      3.6900e-04           4.3434e+03      1.0574e-02
    1.5632    13.2768      4.3500e-04           4.3571e+03      1.2509e-02
    1.5841    13.0513      2.5700e-04           4.4734e+03      7.6481e-03
    1.6051    12.8347      3.0200e-04           4.6106e+03      9.2932e-03
    1.6261    12.6287      8.5000e-05           4.7755e+03      2.7017e-03
    1.6470    12.4346      9.0000e-05           4.9656e+03      2.9506e-03
    1.6680    12.2535      2.1000e-05           5.1783e+03      7.0897e-04
    1.6890    12.0860      1.1000e-05           5.3939e+03      3.8173e-04
    1.7099    11.9319      1.1000e-05           5.6059e+03      3.9165e-04
    1.7309    11.7902      5.8000e-05           5.7878e+03      2.1150e-03
    1.7519    11.6597      5.0000e-05           5.9333e+03      1.8643e-03
    1.7728    11.5388      8.9000e-05           6.0314e+03      3.3884e-03
    1.7938    11.4260      1.1400e-04           6.0867e+03      4.4264e-03
    1.8148    11.3200      1.8900e-04           6.0944e+03      7.4765e-03
    1.8357    11.2201      2.2600e-04           6.0543e+03      9.1001e-03
    1.8567    11.1260      3.3800e-04           5.9683e+03      1.3841e-02
    1.8777    11.0380      4.2400e-04           5.8322e+03      1.7641e-02
    1.8986    10.9569      3.9500e-04           5.6460e+03      1.6678e-02
    1.9196    10.8843      4.7900e-04           5.4039e+03      2.0496e-02
    1.9405    10.8231      3.7000e-04           5.1142e+03      1.6011e-02
    1.9615    10.7768      3.3300e-04           4.7819e+03      1.4534e-02
    1.9825    10.7494      2.1700e-04           4.4363e+03      9.5197e-03
    2.0034    10.7445      1.8500e-04           4.1085e+03      8.1232e-03
    2.0244    10.7643      9.9000e-05           3.8254e+03      4.3311e-03
    2.0454    10.8089      1.5400e-04           3.5931e+03      6.6817e-03
    2.0663    10.8771      6.2000e-05           3.4052e+03      2.6564e-03
    2.0873    10.7042      8.3000e-05           3.0163e+03      3.6720e-03
    2.1083    10.3957      1.2500e-04           3.0327e+03      5.8632e-03
    2.1292    10.1001      1.3700e-04           3.0546e+03      6.8077e-03
    2.1502     9.8185      1.6300e-04           3.0786e+03      8.5709e-03
    2.1712     9.5525      1.4600e-04           3.1066e+03      8.1105e-03
    2.1921     9.3035      2.0800e-04           3.1343e+03      1.2181e-02
    2.2131     9.0726      2.4900e-04           3.1651e+03      1.5334e-02
    2.2341     8.8615      3.6800e-04           3.1933e+03      2.3755e-02
    2.2550     8.6713      5.3800e-04           3.2224e+03      3.6270e-02
    2.2760     8.5034      3.8500e-04           3.2489e+03      2.6990e-02
    2.2970     8.3589      5.2000e-04           3.2752e+03      3.7726e-02
    2.3179     8.2391      5.6200e-04           3.3026e+03      4.1967e-02
    2.3389     8.1448      6.4300e-04           3.3304e+03      4.9134e-02
    2.3598     8.0768      7.6300e-04           3.3795e+03      5.9289e-02
    2.3808     8.0358      9.1400e-04           3.3807e+03      7.1749e-02
    2.4018     8.0221      5.4800e-04           3.3868e+03      4.3165e-02
    2.4153     8.0180      1.2780e-03           3.3813e+03      1.0077e-01
    2.4289     8.0052      9.5700e-04           3.3630e+03      7.5700e-02
    2.4424     7.9835      9.7800e-04           3.3359e+03      7.7783e-02
    2.4560     7.9527      1.0760e-03           3.2997e+03      8.6241e-02
    2.4695     7.9121      9.1900e-04           3.2558e+03      7.4415e-02
    2.4830     7.8612      1.0350e-03           3.2052e+03      8.4897e-02
    2.4966     7.7994      1.1000e-03           3.1492e+03      9.1664e-02
    2.5101     7.7259      1.1490e-03           3.0894e+03      9.7578e-02
    2.5237     7.6400      1.0640e-03           3.0269e+03      9.2403e-02
    2.5372     7.5410      1.1300e-03           2.9629e+03      1.0073e-01
    2.5508     7.4284      8.5000e-04           2.8985e+03      7.8083e-02
    2.5643     7.3015      7.6800e-04           2.8350e+03      7.3024e-02
    2.5778     7.1601      6.2000e-04           2.7740e+03      6.1303e-02
    2.5914     7.0039      7.6500e-04           2.7170e+03      7.9052e-02
    2.6049     6.8326      5.7800e-04           2.6652e+03      6.2760e-02
